timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
609214477,5026231,0,0,517100,10425812,0,0,0,4136800,0,0,515820,0,1280,0,20,0,45337,0,3563839,11,244841,6084402,5898490,338355576,229853179,0,0,0,258617,1281
615916139,5027416,0,0,512000,10187948,0,0,0,4096000,0,0,512000,0,0,0,0,0,22245,0,4067072,8,348068,7980953,4345134,342123896,232386732,0,0,0,258550,1
622616441,5029634,0,0,517120,10188882,0,0,0,4136960,0,0,517120,0,0,0,2048,0,24065,0,3644514,0,310475,11652568,398360,345727792,234860708,0,0,0,255534,1
629306185,5017743,0,0,512802,10232098,0,0,0,4102416,0,0,498535,0,14267,0,222,0,40868,0,3533347,0,350381,5559949,3968584,349091592,237286137,0,0,0,257556,14269
636001171,5021325,0,0,512000,10144510,0,0,0,4096000,0,0,512000,0,0,0,2048,0,52553,0,5384773,2,188376,3392902,5916211,352851720,239813542,0,0,0,259630,1
642689442,5016693,0,0,513849,10265094,0,0,0,4110792,0,0,500958,0,12891,0,199,0,40966,11,3577617,0,217348,6395705,5895316,356577488,242317609,0,0,0,253480,12893
649376803,5013842,0,0,521143,10200750,0,0,0,4169144,0,0,516408,0,4735,0,73,0,33139,0,5403696,0,299450,7214445,2540730,360231120,244803241,0,0,0,255504,4737
656079156,5026991,0,0,260096,15133572,0,0,0,2080768,0,0,260096,0,0,0,2048,0,16152,30848,2935739,96645491,165560,6043828,397233,364007632,247334749,0,0,0,259619,1
662765979,5014855,0,0,506876,10151400,0,0,0,4055008,0,0,506594,0,282,0,4,0,42419,9,3530497,13,452005,4878276,733164,367694000,249762029,0,0,0,244250,285
669457266,5020674,0,0,523264,10370834,0,0,0,4186112,0,0,523264,0,0,0,0,0,51910,0,1729467,0,307059,4931925,5884161,371330688,252256037,0,0,0,257582,3
676142644,5013085,0,0,509952,10116910,0,0,0,4079616,0,0,509952,0,0,0,4096,0,39712,0,3303936,8,218954,6304882,5908759,375074432,254779334,0,0,0,259634,2
682846413,5026044,0,0,506710,10134902,0,0,0,4053680,0,0,490632,0,16078,0,2218,0,28889,0,3709178,15,325752,7505260,5562546,378726704,257215698,0,0,0,246349,16081
689546338,5026394,0,0,518144,10383448,0,0,0,4145152,0,0,518144,0,0,0,4096,0,19743,0,6783220,11,326326,7524077,394043,382535984,259748445,0,0,0,258582,2
696233259,5015218,0,0,515002,10138224,0,0,0,4120016,0,0,510474,0,4528,0,2118,0,19931,0,6668322,0,354558,8364974,568287,386312496,262284046,0,0,0,258578,4530
702928078,5022359,0,0,508928,9993248,0,0,0,4071424,0,0,508928,0,0,0,0,0,47274,0,3365702,0,354403,5680241,5824096,389760312,264663684,0,0,0,246305,2
709626556,5021982,0,0,513024,10251678,0,0,0,4104192,0,0,513024,0,0,0,0,0,44116,0,251465,0,306685,9435202,5883195,393398616,267151630,0,0,0,256543,0
716323463,5020056,0,0,511879,10241158,0,0,0,4095032,0,0,498948,0,12931,0,4217,0,27469,0,2884981,0,218979,9943870,5926521,397150552,269683131,0,0,0,260651,12932
723022422,5026540,0,0,508928,10144768,0,0,0,4071424,0,0,508928,0,0,0,0,0,23457,0,6180084,18,310025,6554039,620125,400812376,272116300,0,0,0,246280,1
729720435,5023302,0,0,525253,10482464,0,0,0,4202024,0,0,521468,0,3785,0,59,0,29102,13,7267242,9,376175,2587371,544821,404629848,274673632,0,0,0,260660,3785
736415862,5017159,0,0,518982,10346596,0,0,0,4151856,0,0,502979,0,16003,0,5306,0,45323,0,4847205,0,428760,4544601,2899365,408387432,277216101,0,0,0,259608,16003
743119783,5024756,0,0,510918,10099912,0,0,0,4087344,0,0,507176,0,3742,0,2106,0,40410,0,3411793,3,259964,6207216,5832232,412065176,279652607,0,0,0,247316,3744
749815922,5024875,0,0,521216,10359774,0,0,0,4169728,0,0,521216,0,0,0,2048,0,47064,0,245434,0,296074,11595685,5907724,415611152,282124183,0,0,0,257604,0
756518746,5012692,0,0,521216,10251582,0,0,0,4169728,0,0,521216,0,0,0,4096,0,29582,0,2584178,0,305757,8979090,3608916,419461392,284686423,0,0,0,261686,1
763211507,5018934,0,0,506868,9988120,0,0,0,4054944,0,0,506100,0,768,0,2060,0,20797,0,6932837,0,352437,5831443,740219,423188656,287126420,0,0,0,246313,770
769909225,5025720,0,0,509634,10318230,0,0,0,4077072,0,0,497466,0,12168,0,3390,0,33158,3,6945809,13,327252,1693191,4690194,426940592,289650975,0,0,0,259564,12170
776603020,5021254,0,0,509807,10374648,0,0,0,4078456,0,0,500448,0,9359,0,2193,0,44270,11,4487951,16,351829,4824621,5917966,430602416,292129223,0,0,0,255492,9360
783294957,5020355,0,0,498462,9930142,0,0,0,3987696,0,0,493158,0,5304,0,1250,0,33511,0,3336098,0,174022,9811724,614202,434155936,294479061,0,0,0,237060,5306
789984619,5013295,0,0,515072,10393554,0,0,0,4120576,0,0,515072,0,0,0,2048,0,35008,0,1429880,0,324627,10154997,393866,437323824,296851392,0,0,0,258586,1
796687538,5025831,0,0,510951,10216368,0,0,0,4087608,0,0,509302,0,1649,0,2073,0,28035,0,3498134,17,333157,6882899,2913103,441051080,299371714,0,0,0,259491,1651
803379167,5016100,0,0,499712,10168348,0,0,0,3997696,0,0,499712,0,0,0,6144,0,36272,0,6345168,0,386674,6900876,5856359,444696520,301821283,0,0,0,251437,2
810100328,5026319,0,0,505714,10169954,0,0,0,4045712,0,0,496594,0,9120,0,4238,0,46458,0,5621401,12,314120,3621225,5899689,448389592,304339525,0,0,0,259641,9120
816797905,5021363,52992,1033860,419170,8341908,0,0,423936,3353360,52992,0,397374,0,21796,0,58270,0,39719,10117,2322446,3012536,237714,5391277,3238120,451669024,306574415,452,0,13656,277046,22209
826018563,5027459,35840,688814,606898,12041298,0,0,286720,4855184,35840,0,601926,0,4972,0,39225,0,32602,0,3479144,17,279254,10520607,0,455632632,2509554,0,0,0,305727,5271
832719535,5022473,0,0,516096,10356030,0,0,0,4128768,0,0,516096,0,0,0,4096,0,28114,0,3045923,0,329736,8441916,3269342,459154528,4965085,0,0,0,257565,1
839417641,5023337,0,0,497474,9924644,0,0,0,3979792,0,0,485244,0,12230,0,190,0,32146,0,4154675,0,414014,6173204,5871298,462767200,7410554,0,0,0,250411,12232
846109605,5015792,0,0,517332,10237364,0,0,0,4138656,0,0,505542,0,11790,0,5932,0,47848,0,5044398,0,317221,5355291,5893188,466372592,9901630,0,0,0,257537,11794
852797933,5014703,91776,1764914,358460,6955498,0,0,734208,2867680,91776,0,358460,0,0,0,93487,0,19770,0,3521856,13,43838,453668,3241184,470108144,12420040,0,0,0,257531,765
859487077,5014390,0,0,250880,5021442,0,0,0,2007040,0,0,250880,0,0,0,0,0,15734,0,2923090,0,110583,3861947,652230,473745392,14877796,0,0,0,251431,1
866181498,5019061,0,0,255279,5083476,0,0,0,2042232,0,0,234418,0,20861,0,721,0,32118,0,141959,0,216891,5711206,5013352,477458792,17402561,0,0,0,256562,20861
872871998,5015556,0,0,256000,5107400,0,0,0,2048000,0,0,256000,0,0,0,0,0,23555,0,0,0,217381,5825436,5877437,481112424,19894337,0,0,0,256541,1
879561817,5018121,0,0,248832,5024374,0,0,0,1990656,0,0,248832,0,0,0,0,0,15511,0,2548229,9,210198,4806260,449218,484725096,22333664,0,0,0,249363,1
886252863,5019336,0,0,253952,5081502,0,0,0,2031616,0,0,253952,0,0,0,0,0,22677,0,3324569,0,67256,1058615,554904,488444264,24830327,0,0,0,254500,1
892955437,5027194,0,0,257024,5132610,0,0,0,2056192,0,0,257024,0,0,0,0,0,19396,0,3502443,24,44028,455936,3543436,491916912,27282982,0,0,0,257534,1
899660704,5027399,0,0,256000,5191554,0,0,0,2048000,0,0,256000,0,0,0,0,0,16004,0,2891751,0,54347,903037,5886165,495554160,29771466,0,0,0,256511,1
906359321,5020578,0,0,253943,5022412,0,0,0,2031544,0,0,253303,0,640,0,2057,0,15899,0,869023,0,203983,4809232,5852482,499273256,32271357,0,0,0,256409,641
913054714,5023500,0,0,257024,5177278,0,0,0,2056192,0,0,257024,0,0,0,0,0,20680,0,385612,0,218085,5459989,5895720,503000616,34787710,0,0,0,257530,1
919744835,5019502,0,0,257024,5132364,0,0,0,2056192,0,0,257024,0,0,0,0,0,22115,0,666603,0,218360,5886117,4539875,506670632,37290530,0,0,0,257573,1
926446761,5024339,0,0,253952,5080872,0,0,0,2031616,0,0,253952,0,0,0,0,0,15846,0,2617310,1,215392,2221795,395272,510373416,39783428,0,0,0,254435,1
933147749,5028335,0,0,260096,5214620,0,0,0,2080768,0,0,260096,0,0,0,2048,0,20920,0,3203369,14,117863,1322269,536272,513985416,42291418,0,0,0,262678,1
939838414,5018040,0,0,248832,5131990,0,0,0,1990656,0,0,248832,0,0,0,2048,0,20869,0,3425915,20,43957,705628,2196462,517581704,44729279,0,0,0,251427,0
946528412,5014712,0,0,251904,5079428,0,0,0,2015232,0,0,251904,0,0,0,2048,0,15744,0,1009940,1,84777,3564763,5841701,521276296,47209555,0,0,0,254299,1
953211971,5012802,0,0,257024,5181494,0,0,0,2056192,0,0,257024,0,0,0,0,0,21129,0,345648,0,217345,5343193,5884323,524823432,49680835,0,0,0,257555,0
959898964,5014194,0,0,256692,5048408,0,0,0,2053536,0,0,252638,0,4054,0,2380,0,22203,0,763304,0,219486,5757200,4348949,528490792,52187435,0,0,0,259602,4055
